date,open,high,low,close,volume,prev_position,position,amount
2017-08-27 01:30:00,334.99999990,336.09109002,334.20488533,336.09108995,524.13479075,NaN,NaN,NaN
2017-08-27 02:00:00,336.09109002,336.99499987,326.00000000,335.35178660,1653.74161559,NaN,NaN,NaN
2017-08-27 02:30:00,334.82690283,335.35178665,333.62588372,334.63817010,319.70253262,NaN,NaN,NaN
2017-08-27 03:00:00,334.44173504,335.10000000,332.53666489,333.87265371,379.86993337,NaN,NaN,NaN
2017-08-27 03:30:00,333.33300007,334.49999983,332.00000012,333.00000000,321.61585322,NaN,NaN,NaN
2017-08-27 04:00:00,333.00000000,334.90000000,332.46197905,334.89999996,379.58733413,NaN,NaN,NaN
2017-08-27 04:30:00,334.89999952,336.16799997,334.89999949,336.08999999,220.87811199,NaN,NaN,NaN
2017-08-27 05:00:00,336.05000499,336.19999999,334.00000000,334.00000001,1139.16586624,NaN,NaN,NaN
2017-08-27 05:30:00,333.89999995,335.90000000,332.81820000,334.59441490,186.58070535,NaN,NaN,NaN
2017-08-27 06:00:00,334.59441502,335.92262257,334.05819413,334.94590005,147.47478080,NaN,NaN,NaN
2017-08-27 06:30:00,334.44711000,335.92163999,333.00000000,333.21454074,215.55194801,NaN,NaN,NaN
2017-08-27 07:00:00,333.21454074,334.90098988,332.81100000,334.90098941,57.72290254,NaN,NaN,NaN
2017-08-27 07:30:00,334.90098941,335.00000000,334.21000000,334.40000000,89.41819637,NaN,NaN,NaN
2017-08-27 08:00:00,334.40022570,334.99956987,333.00000000,333.99098903,356.08898435,NaN,NaN,NaN
2017-08-27 08:30:00,333.32200023,334.58892999,332.80439989,332.80439989,488.64121223,NaN,NaN,NaN
2017-08-27 09:00:00,332.80447000,333.99873982,332.60035002,333.20000000,148.69446330,NaN,NaN,NaN
2017-08-27 09:30:00,333.89999985,335.00000000,333.00014000,335.00000000,258.75411017,NaN,NaN,NaN
2017-08-27 10:00:00,334.80000002,336.80116618,333.10000000,335.81571681,568.94454042,NaN,NaN,NaN
2017-08-27 10:30:00,335.99999999,335.99999999,334.13663834,335.39999900,246.20537403,NaN,NaN,NaN
2017-08-27 11:00:00,335.39999819,336.00000000,334.13663906,336.00000000,186.16583593,NaN,NaN,NaN
2017-08-27 11:30:00,336.50000000,336.85000000,334.10000000,335.00000000,344.83485940,NaN,NaN,NaN
2017-08-27 12:00:00,335.00000000,335.99957813,333.20000000,333.21228003,879.73889551,NaN,NaN,NaN
2017-08-27 12:30:00,334.99993000,335.78391999,333.30007003,335.46999999,173.18503744,NaN,NaN,NaN
2017-08-27 13:00:00,335.46999999,336.00000000,334.39684000,336.00000000,346.07166283,NaN,NaN,NaN
2017-08-27 13:30:00,335.94256477,336.00000000,334.00000003,335.10000000,178.21732397,NaN,NaN,NaN
2017-08-27 14:00:00,335.40187000,335.98973000,334.36200009,335.98973000,224.30228280,NaN,NaN,NaN
2017-08-27 14:30:00,335.98972999,335.98972999,334.00000002,334.91724923,343.94510469,NaN,NaN,NaN
2017-08-27 15:00:00,334.49999072,336.70000000,333.90154008,335.88480063,864.28275072,NaN,NaN,NaN
2017-08-27 15:30:00,335.30634502,336.69999999,335.00000000,335.30000004,453.09829832,NaN,NaN,NaN
2017-08-27 16:00:00,336.49979903,336.49979903,334.36000000,334.70000000,259.22820298,NaN,NaN,NaN
2017-08-27 16:30:00,334.72788157,336.21562996,334.60000005,335.81999999,421.62895625,NaN,NaN,NaN
2017-08-27 17:00:00,336.13999965,337.50000000,335.40000010,337.49000000,852.21006956,NaN,NaN,NaN
2017-08-27 17:30:00,337.51400417,339.87999999,337.34382931,339.80840000,1316.57827034,NaN,NaN,NaN
2017-08-27 18:00:00,339.80840000,340.00000000,336.87936190,338.00000000,1021.86381724,NaN,NaN,NaN
2017-08-27 18:30:00,338.00000000,340.99999900,337.00000014,340.00000000,749.49651905,NaN,NaN,NaN
2017-08-27 19:00:00,339.99999999,340.99992841,338.70007002,339.74126686,551.58792192,NaN,NaN,NaN
2017-08-27 19:30:00,339.74126680,341.00000000,338.85000000,341.00000000,824.31380065,NaN,NaN,NaN
2017-08-27 20:00:00,341.00000000,341.00000000,339.00000000,339.83799969,518.47634078,NaN,NaN,NaN
2017-08-27 20:30:00,339.55210627,340.97873995,337.60819000,338.68234820,730.15284387,NaN,NaN,NaN
2017-08-27 21:00:00,338.68234820,340.90874410,337.90000000,339.99999982,1166.58248112,NaN,NaN,NaN
2017-08-27 21:30:00,339.99999982,341.12303827,339.81825128,339.93247522,1446.03839841,NaN,NaN,NaN
2017-08-27 22:00:00,339.93247522,340.93247411,339.75173560,340.00004001,460.09703561,NaN,NaN,NaN
2017-08-27 22:30:00,340.00004001,340.98000008,339.80000000,340.98000006,414.60375792,NaN,NaN,NaN
2017-08-27 23:00:00,341.00000000,344.00000000,340.98000007,343.95000000,921.27629240,NaN,NaN,NaN
2017-08-27 23:30:00,344.00000000,347.26325294,342.86855494,347.26325294,1618.63815434,NaN,NaN,NaN
2017-08-28 00:00:00,347.26325294,349.90000000,347.26325293,348.00000000,2369.24337162,NaN,NaN,NaN
2017-08-28 00:30:00,348.00000000,350.00000000,346.34000001,346.67776000,1358.24775815,NaN,NaN,NaN
2017-08-28 01:00:00,346.67790013,348.29999994,344.17050001,345.33051866,1077.48048284,NaN,NaN,NaN
2017-08-28 01:30:00,345.79999967,347.49999999,344.80049000,346.00000000,348.82552351,NaN,NaN,NaN
2017-08-28 02:00:00,345.52000000,348.77211493,345.52000000,348.72833333,425.39730965,NaN,NaN,NaN
2017-08-28 02:30:00,348.13141006,349.98000000,347.72245100,349.00000026,703.89723067,NaN,NaN,NaN
2017-08-28 03:00:00,349.00000000,349.00000013,346.01833341,347.34739482,583.06066674,NaN,NaN,NaN
2017-08-28 03:30:00,347.69381000,347.69381000,345.06000000,345.06000000,338.42379037,NaN,NaN,NaN
2017-08-28 04:00:00,345.06000000,345.06000001,334.61000009,335.99993000,7380.04420458,NaN,NaN,NaN
2017-08-28 04:30:00,336.00000000,342.35957344,335.00000000,340.00000002,3630.38901087,NaN,NaN,NaN
2017-08-28 05:00:00,340.00000000,340.92999984,333.10000000,334.51154565,1209.78505342,NaN,NaN,NaN
2017-08-28 05:30:00,334.00000001,337.02665967,334.00000001,336.30839421,186.32895750,NaN,NaN,NaN
2017-08-28 06:00:00,336.03000001,339.63003000,335.82248573,339.49999995,589.93022992,NaN,NaN,NaN
2017-08-28 06:30:00,339.49999994,340.01096717,338.50400002,339.89999999,378.32010574,NaN,NaN,NaN
2017-08-28 07:00:00,339.99000000,340.99922992,337.81491070,340.90000000,257.46614383,NaN,NaN,NaN
2017-08-28 07:30:00,340.42099992,340.98844000,339.99085551,340.50000031,275.88775472,NaN,NaN,NaN
2017-08-28 08:00:00,340.97999979,342.00000000,340.11230001,340.11230001,923.67722190,NaN,NaN,NaN
2017-08-28 08:30:00,340.25533562,341.45499999,339.99999994,339.99999995,272.97358760,NaN,NaN,NaN
2017-08-28 09:00:00,339.99999994,339.99999994,337.49152552,338.15000032,689.92592350,NaN,NaN,NaN
2017-08-28 09:30:00,339.00000000,340.00000000,338.25000043,339.00000000,1261.54290196,NaN,NaN,NaN
2017-08-28 10:00:00,339.00007000,339.99908998,338.10014001,339.99726850,568.86330184,NaN,NaN,NaN
2017-08-28 10:30:00,339.36589411,341.45492939,338.10000101,341.39153648,566.07888604,NaN,NaN,NaN
2017-08-28 11:00:00,341.45464994,341.79999952,340.80000000,340.80000001,640.10902223,NaN,NaN,NaN
2017-08-28 11:30:00,340.80001001,342.34600000,340.20000000,340.51000002,1027.62669626,NaN,NaN,NaN
2017-08-28 12:00:00,341.66310985,345.34070455,340.40000000,341.89000003,1571.53939958,NaN,NaN,NaN
2017-08-28 12:30:00,341.89000005,344.44795264,341.50000000,343.69992984,1234.28928584,NaN,NaN,NaN
2017-08-28 13:00:00,343.69992972,346.00039654,342.76179517,344.64992999,1048.90855154,NaN,NaN,NaN
2017-08-28 13:30:00,344.64986000,344.64986000,342.20000600,342.27000010,646.80649609,NaN,NaN,NaN
2017-08-28 14:00:00,342.27000010,343.99183998,342.00000001,342.60128001,194.94012375,NaN,NaN,NaN
2017-08-28 14:30:00,343.00209899,344.99999995,342.60177003,344.23100016,121.41049311,NaN,NaN,NaN
2017-08-28 15:00:00,344.79899922,345.00000000,344.22007703,344.27971222,292.68841447,NaN,NaN,NaN
2017-08-28 15:30:00,344.30000000,344.99950986,342.50000000,343.12414007,436.61532554,NaN,NaN,NaN
2017-08-28 16:00:00,343.52749799,343.52749799,342.75265100,342.75265100,516.94803908,NaN,NaN,NaN
2017-08-28 16:30:00,343.52749990,344.99999997,341.97099800,342.50000200,1140.46541047,NaN,NaN,NaN
2017-08-28 17:00:00,342.99999996,344.18089000,341.98000001,343.00000100,846.27542020,NaN,NaN,NaN
2017-08-28 17:30:00,342.62545400,344.22900000,341.54986148,343.19721100,988.31549658,NaN,NaN,NaN
2017-08-28 18:00:00,343.19721000,344.66876578,342.27993001,343.51608501,536.20628058,NaN,NaN,NaN
2017-08-28 18:30:00,343.54649787,345.00000000,342.79147015,344.73077994,370.26206428,NaN,NaN,NaN
2017-08-28 19:00:00,344.73077933,345.02406997,343.93077929,344.00000000,245.71359067,NaN,NaN,NaN
2017-08-28 19:30:00,344.00010000,344.72999994,343.48100012,343.69580506,243.80278092,NaN,NaN,NaN
2017-08-28 20:00:00,343.75198206,345.25288266,343.19721104,344.63317766,353.48862140,NaN,NaN,NaN
2017-08-28 20:30:00,343.19880000,345.02936997,343.19820254,343.19843006,232.51445563,NaN,NaN,NaN
2017-08-28 21:00:00,343.19843006,345.21110000,343.19842900,344.79999997,221.24290544,NaN,NaN,NaN
2017-08-28 21:30:00,343.92610405,348.00000199,343.92610405,347.99999999,463.88879969,NaN,NaN,NaN
2017-08-28 22:00:00,348.00000199,348.00000199,345.99989993,346.99994994,465.77074979,NaN,NaN,NaN
2017-08-28 22:30:00,346.57999996,347.50000000,345.86121313,346.80090645,235.97736735,NaN,NaN,NaN
2017-08-28 23:00:00,346.80090645,347.49936998,346.20090801,346.99999998,219.30127961,NaN,NaN,NaN
2017-08-28 23:30:00,347.00000000,347.51500000,346.59943003,347.30549993,177.19159006,NaN,NaN,NaN
2017-08-29 00:00:00,347.37869799,348.00000000,346.90570900,347.62999999,96.59820918,NaN,NaN,NaN
2017-08-29 00:30:00,346.91034000,347.70000000,346.70399021,347.31372800,203.99094188,NaN,NaN,NaN
2017-08-29 01:00:00,346.87315563,348.10000000,346.20203006,347.51010153,200.57989766,NaN,NaN,NaN
2017-08-29 01:30:00,347.51010153,348.25216000,346.35836000,347.67418505,188.39239834,NaN,NaN,NaN
2017-08-29 02:00:00,347.99999999,348.25215999,347.30000103,348.24000000,126.13410046,NaN,NaN,NaN
2017-08-29 02:30:00,348.25215999,348.25216000,347.30000454,347.60000902,240.75925820,NaN,NaN,NaN
2017-08-29 03:00:00,348.00000000,348.99086743,347.61000002,348.98216200,514.45668176,NaN,NaN,NaN
2017-08-29 03:30:00,348.98216000,349.79993000,348.98214500,349.01635111,779.73844518,NaN,NaN,NaN
2017-08-29 04:00:00,349.80000000,349.80000000,348.99000000,349.49999992,337.21497073,NaN,NaN,NaN
2017-08-29 04:30:00,349.07560101,350.00000000,349.07560101,349.99999999,404.26867416,NaN,NaN,NaN
2017-08-29 05:00:00,350.00000000,350.00000000,349.10203184,349.99999900,1295.79294551,NaN,NaN,NaN
2017-08-29 05:30:00,349.99189200,354.50000000,349.90000000,354.33000000,3221.17118248,NaN,NaN,NaN
2017-08-29 06:00:00,354.35187599,354.49999948,351.32000001,351.32110200,767.32230190,NaN,NaN,NaN
2017-08-29 06:30:00,351.76198399,352.89993000,350.50333335,351.50000000,529.77274608,NaN,NaN,NaN
2017-08-29 07:00:00,351.51100000,354.50000000,351.51100000,354.50000000,649.11903924,NaN,NaN,NaN
2017-08-29 07:30:00,354.50000000,354.50000000,353.10000000,353.70041000,581.42505255,NaN,NaN,NaN
2017-08-29 08:00:00,353.70041397,356.00000000,353.70041098,355.99999998,671.45112839,NaN,NaN,NaN
2017-08-29 08:30:00,355.99999998,357.59999900,354.99999998,356.41110104,646.19257871,NaN,NaN,NaN
2017-08-29 09:00:00,357.60101276,360.62799998,357.60101275,360.29999999,1984.37480735,NaN,NaN,NaN
2017-08-29 09:30:00,360.30000100,363.82087002,357.82310097,363.69999797,2377.36821582,NaN,NaN,NaN
2017-08-29 10:00:00,363.81001000,366.11210101,360.20000000,366.00000002,2045.27329507,NaN,NaN,NaN
2017-08-29 10:30:00,366.16500000,367.94306000,362.26610327,364.09999899,2187.54309873,NaN,NaN,NaN
2017-08-29 11:00:00,364.00000001,364.00001900,359.55755750,361.60000100,1212.97233135,NaN,NaN,NaN
2017-08-29 11:30:00,361.60000100,361.99999086,356.85000000,358.53000001,1591.15511676,NaN,NaN,NaN
2017-08-29 12:00:00,358.53000001,364.00000000,358.50000000,361.29999998,1079.14428267,NaN,NaN,NaN
2017-08-29 12:30:00,361.29355301,363.00000000,360.00000000,360.99999999,414.93026982,NaN,NaN,NaN
2017-08-29 13:00:00,361.00000000,362.52085999,360.00014000,361.50149901,413.91503370,NaN,NaN,NaN
2017-08-29 13:30:00,361.50149901,367.00000000,361.50149800,365.80014100,1603.96458461,NaN,NaN,NaN
2017-08-29 14:00:00,366.00000000,367.00000000,362.00007001,364.49993900,1315.02125402,NaN,NaN,NaN
